Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt9376612,2022-11-09,2022-11-09,,"Shang-Chi e la leggenda dei dieci anelli","Shang-Chi and the Legend of the Ten Rings",https://www.imdb.com/title/tt9376612/,Film,7.3,132,2021,"Azione, Avventura, Fantastico, Fantascienza",501613,2021-09-01,"Destin Daniel Cretton",,
2,tt0892782,2026-09-01,2026-09-01,,"Mostri contro alieni","Monsters vs Aliens",https://www.imdb.com/title/tt0892782/,Film,6.4,94,2009,"Animazione, Azione, Avventura, Commedia, Per famiglie, Fantastico, Fantascienza",191362,2009-04-03,"Rob Letterman, Conrad Vernon",,
3,tt0126029,2026-09-01,2026-09-01,,"Shrek","Shrek",https://www.imdb.com/title/tt0126029/,Film,7.9,90,2001,"Animazione, Avventura, Commedia, Per famiglie, Fantastico, Sentimentale",821514,2001-06-15,"Andrew Adamson, Vicky Jenson",,
4,tt0298148,2026-09-01,2026-09-01,,"Shrek 2","Shrek 2",https://www.imdb.com/title/tt0298148/,Film,7.4,93,2004,"Animazione, Avventura, Commedia, Per famiglie, Fantastico, Sentimentale",563607,2004-12-17,"Andrew Adamson, Kelly Asbury, Conrad Vernon",,
5,tt0103639,2026-09-01,2026-09-01,,"Aladdin","Aladdin",https://www.imdb.com/title/tt0103639/,Film,8.0,90,1992,"Animazione, Avventura, Commedia, Per famiglie, Fantastico, Musical, Sentimentale",505657,1993-12-03,"Ron Clements, John Musker",,
6,tt0892791,2026-09-01,2026-09-01,,"Shrek 4: e vissero felici e contenti","Shrek Forever After",https://www.imdb.com/title/tt0892791/,Film,6.4,93,2010,"Animazione, Avventura, Commedia, Per famiglie, Fantastico, Sentimentale",249665,2010-08-25,"Mike Mitchell",,
7,tt0097757,2026-09-01,2026-09-01,,"La sirenetta","The Little Mermaid",https://www.imdb.com/title/tt0097757/,Film,7.6,83,1989,"Animazione, Avventura, Per famiglie, Fantastico, Musical, Sentimentale",315444,1990-12-07,"Ron Clements, John Musker",,
8,tt0119282,2026-09-01,2026-09-01,,"Hercules","Hercules",https://www.imdb.com/title/tt0119282/,Film,7.3,93,1997,"Animazione, Azione, Avventura, Commedia, Per famiglie, Fantastico, Musical, Sentimentale",283886,1997-12-05,"Ron Clements, John Musker",,
9,tt0398286,2026-09-01,2026-09-01,,"Rapunzel: L'intreccio della torre","Tangled",https://www.imdb.com/title/tt0398286/,Film,7.7,100,2010,"Animazione, Avventura, Commedia, Per famiglie, Fantastico, Musical, Sentimentale",553963,2010-11-26,"Nathan Greno, Byron Howard",,
10,tt0389790,2026-09-01,2026-09-01,,"Bee Movie","Bee Movie",https://www.imdb.com/title/tt0389790/,Film,6.1,91,2007,"Animazione, Avventura, Commedia, Drammatico, Per famiglie, Sentimentale",200629,2007-12-21,"Steve Hickner, Simon J. Smith",,
11,tt0462538,2026-09-01,2026-09-01,,"I Simpson - Il film","The Simpsons Movie",https://www.imdb.com/title/tt0462538/,Film,7.3,87,2007,"Animazione, Avventura, Commedia",365530,2007-09-14,"David Silverman",,
12,tt1772341,2026-09-01,2026-09-01,,"Ralph Spaccatutto","Wreck-It Ralph",https://www.imdb.com/title/tt1772341/,Film,7.7,101,2012,"Animazione, Avventura, Commedia, Per famiglie, Fantastico, Fantascienza, Sportivo",505557,2012-12-20,"Rich Moore",,
13,tt1490017,2026-09-01,2026-09-01,,"The Lego Movie","The LEGO Movie",https://www.imdb.com/title/tt1490017/,Film,7.7,100,2014,"Animazione, Azione, Avventura, Commedia, Per famiglie, Fantastico, Fantascienza",421255,2014-02-20,"Phil Lord, Christopher Miller",,
14,tt0413267,2026-09-01,2026-09-01,,"Shrek Terzo","Shrek the Third",https://www.imdb.com/title/tt0413267/,Film,6.1,93,2007,"Animazione, Avventura, Commedia, Per famiglie, Fantastico, Sentimentale",365276,2007-08-31,"Chris Miller, Raman Hui",,
15,tt0107290,2026-09-01,2026-09-01,,"Jurassic Park","Jurassic Park",https://www.imdb.com/title/tt0107290/,Film,8.2,127,1993,"Avventura, Fantascienza",1198700,1993-09-17,"Steven Spielberg",,
16,tt0369610,2026-09-01,2026-09-01,,"Jurassic World","Jurassic World",https://www.imdb.com/title/tt0369610/,Film,6.9,124,2015,"Azione, Avventura, Fantascienza",737922,2015-06-11,"Colin Trevorrow",,
17,tt0119567,2026-09-01,2026-09-01,,"Il mondo perduto - Jurassic Park","The Lost World: Jurassic Park",https://www.imdb.com/title/tt0119567/,Film,6.6,129,1997,"Azione, Avventura, Fantascienza",483251,1997-09-05,"Steven Spielberg",,
18,tt0163025,2026-09-01,2026-09-01,,"Jurassic Park III","Jurassic Park III",https://www.imdb.com/title/tt0163025/,Film,6.0,92,2001,"Azione, Avventura, Fantascienza, Thriller",376006,2001-08-31,"Joe Johnston",,
